START_DATE,ELAPSED_MINUTE
2016/1/1,141
2016/1/2,160
2016/1/3,149
2016/1/4,145
2016/1/5,187
2016/1/6,164
2016/1/7,160
2016/1/8,155
2016/1/9,159
2016/1/10,154
2016/1/11,146
2016/1/12,182
2016/1/13,161
2016/1/14,157
2016/1/15,159
2016/1/16,179
2016/1/17,173
2016/1/18,147
2016/1/19,181
2016/1/20,165
2016/1/21,171
2016/1/22,185
2016/1/23,160
2016/1/24,150
2016/1/25,148
2016/1/26,206
2016/1/27,163
2016/1/28,167
2016/1/29,167
2016/1/30,181
2016/1/31,146
2016/2/1,192
2016/2/2,225
2016/2/3,190
2016/2/4,173
2016/2/5,186
2016/2/6,191
2016/2/7,159
2016/2/8,215
2016/2/9,155
2016/2/10,158
2016/2/11,118
2016/2/12,152
2016/2/13,132
2016/2/14,124
2016/2/15,148
2016/2/16,150
2016/2/17,153
2016/2/18,151
2016/2/19,152
2016/2/20,154
2016/2/21,150
2016/2/22,147
2016/2/23,166
2016/2/24,165
2016/2/25,164
2016/2/26,176
2016/2/27,157
2016/2/28,138
2016/2/29,154
2016/3/1,225
2016/3/2,169
2016/3/3,162
2016/3/4,155
2016/3/5,158
2016/3/6,157
2016/3/7,145
2016/3/8,177
2016/3/9,161
2016/3/10,148
2016/3/11,155
2016/3/12,167
2016/3/13,145
2016/3/14,134
2016/3/15,177
2016/3/16,163
2016/3/17,155
2016/3/18,156
2016/3/19,158
2016/3/20,139
2016/3/21,170
2016/3/22,196
2016/3/23,154
2016/3/24,157
2016/3/25,164
2016/3/26,181
2016/3/27,137
2016/3/28,139
2016/3/29,193
2016/3/30,166
2016/3/31,170
2016/4/1,212
2016/4/2,174
2016/4/3,147
2016/4/4,144
2016/4/5,148
2016/4/6,201
2016/4/7,155
2016/4/8,155
2016/4/9,156
2016/4/10,140
2016/4/11,146
2016/4/12,190
2016/4/13,153
2016/4/14,151
2016/4/15,155
2016/4/16,166
2016/4/17,148
2016/4/18,147
2016/4/19,165
2016/4/20,181
2016/4/21,146
2016/4/22,149
2016/4/23,158
2016/4/24,142
2016/4/25,142
2016/4/26,182
2016/4/27,150
2016/4/28,183
2016/4/29,147
2016/4/30,153
2016/5/1,195
2016/5/2,165
2016/5/3,156
2016/5/4,156
2016/5/5,155
2016/5/6,169
2016/5/7,150
2016/5/8,180
2016/5/9,138
2016/5/10,150
2016/5/11,155
2016/5/12,167
2016/5/13,155
2016/5/14,150
2016/5/15,126
2016/5/16,146
2016/5/17,172
2016/5/18,157
2016/5/19,151
2016/5/20,150
2016/5/21,194
2016/5/22,146
2016/5/23,144
2016/5/24,152
2016/5/25,153
2016/5/26,176
2016/5/27,148
2016/5/28,146
2016/5/29,139
2016/5/30,139
2016/5/31,158
2016/6/1,206
2016/6/2,171
2016/6/3,157
2016/6/4,150
2016/6/5,141
2016/6/6,159
2016/6/7,159
2016/6/8,143
2016/6/9,158
2016/6/10,143
2016/6/11,140
2016/6/12,166
2016/6/13,164
2016/6/14,151
2016/6/15,148
2016/6/16,159
2016/6/17,161
2016/6/18,154
2016/6/19,146
2016/6/20,144
2016/6/21,172
2016/6/22,187
2016/6/23,160
2016/6/24,155
2016/6/25,168
2016/6/26,168
2016/6/27,144
2016/6/28,159
2016/6/29,155
2016/6/30,161
2016/7/1,211
2016/7/2,175
2016/7/3,161
2016/7/4,156
2016/7/5,175
2016/7/6,182
2016/7/7,171
2016/7/8,169
2016/7/9,170
2016/7/10,156
2016/7/11,162
2016/7/12,181
2016/7/13,166
2016/7/14,152
2016/7/15,156
2016/7/16,161
2016/7/17,152
2016/7/18,137
2016/7/19,171
2016/7/20,197
2016/7/21,155
2016/7/22,153
2016/7/23,153
2016/7/24,146
2016/7/25,145
2016/7/26,183
2016/7/27,156
2016/7/28,155
2016/7/29,152
2016/7/30,157
2016/7/31,190
2016/8/1,198
2016/8/2,164
2016/8/3,150
2016/8/4,159
2016/8/5,160
2016/8/6,176
2016/8/7,152
2016/8/8,139
2016/8/9,177
2016/8/10,235
2016/8/11,176
2016/8/12,175
2016/8/13,168
2016/8/14,150
2016/8/15,145
2016/8/16,140
2016/8/17,163
2016/8/18,160
2016/8/19,154
2016/8/20,158
2016/8/21,147
2016/8/22,148
2016/8/23,166
2016/8/24,169
2016/8/25,168
2016/8/26,190
2016/8/27,161
2016/8/28,191
2016/8/29,151
2016/8/30,161
2016/8/31,156
2016/9/1,220
2016/9/2,181
2016/9/3,205
2016/9/4,160
2016/9/5,162
2016/9/6,203
2016/9/7,163
2016/9/8,170
2016/9/9,159
2016/9/10,176
2016/9/11,179
2016/9/12,180
2016/9/13,174
2016/9/14,158
2016/9/15,189
2016/9/16,171
2016/9/17,151
2016/9/18,144
2016/9/19,171
2016/9/20,152
2016/9/21,177
2016/9/22,184
2016/9/23,188
2016/9/24,165
2016/9/25,153
2016/9/26,178
2016/9/27,162
2016/9/28,156
2016/9/29,157
2016/9/30,166
2016/10/1,225
2016/10/2,168
2016/10/3,152
2016/10/4,146
2016/10/5,149
2016/10/6,155
2016/10/7,147
2016/10/8,146
2016/10/9,156
2016/10/10,152
2016/10/11,170
2016/10/12,202
2016/10/13,174
2016/10/14,167
2016/10/15,261
2016/10/16,157
2016/10/17,165
2016/10/18,158
2016/10/19,165
2016/10/20,165
2016/10/21,202
2016/10/22,159
2016/10/23,145
2016/10/24,157
2016/10/25,182
2016/10/26,187
2016/10/27,158
2016/10/28,159
2016/10/29,164
2016/10/30,149
2016/10/31,152
2016/11/1,206
2016/11/2,175
2016/11/3,165
2016/11/4,210
2016/11/5,167
2016/11/6,193
2016/11/7,144
2016/11/8,175
2016/11/9,160
2016/11/10,160
2016/11/11,183
2016/11/12,256
2016/11/13,171
2016/11/14,157
2016/11/15,163
2016/11/16,172
2016/11/17,179
2016/11/18,164
2016/11/19,163
2016/11/20,154
2016/11/21,162
2016/11/22,163
2016/11/23,165
2016/11/24,167
2016/11/25,171
2016/11/26,193
2016/11/27,152
2016/11/28,155
2016/11/29,181
2016/11/30,173
2016/12/1,230
2016/12/2,182
2016/12/3,185
2016/12/4,170
2016/12/5,173
2016/12/6,192
2016/12/7,188
2016/12/8,159
2016/12/9,159
2016/12/10,163
2016/12/11,164
2016/12/12,185
2016/12/13,181
2016/12/14,160
2016/12/15,163
2016/12/16,172
2016/12/17,171
2016/12/18,156
2016/12/19,183
2016/12/20,167
2016/12/21,242
2016/12/22,193
2016/12/23,175
2016/12/24,171
2016/12/25,219
2016/12/26,190
2016/12/27,178
2016/12/28,173
2016/12/29,178
2016/12/30,164
2016/12/31,174